CITY,ZIP,ListPrice,BEDS,BATHS,SQFT,LotSize,Age,HasGarage,LATITUDE,LONGITUDE
St. Paul,55113,214000,3,2,1954,6969,96,Garage,44.991634,-93.142616
St. Paul,55104,134900,3,1,1028,4356,103,Garage,44.957291,-93.142624
St. Paul,55106,129722,4,1,1420,5227,114,No Garage,44.954708,-93.057976
St. Paul,55104,134900,2,1.75,904,8712,86,Garage,44.952404,-93.142693
Shoreview,55126,444900,4,2.5,2014,12632,0,Garage,44.944391,-93.141348
St. Paul,55106,134900,4,1,1980,4791,110,Garage,44.964642,-93.057945
Minneapolis,55418,159000,3,2,1594,3484,114,Garage,45.012962,-93.244789
St. Paul,55106,69900,3,1.25,1255,7405,120,Garage,44.971966,-93.05616
St. Paul,55106,79990,2,1.25,816,4791,87,Garage,44.977798,-93.057526
St. Paul,55106,69900,3,1.5,1200,4791,138,No Garage,44.960121,-93.057121
St. Paul,55116,249900,3,1.75,2056,6098,62,Garage,44.910465,-93.181953
St. Paul,55104,149900,5,1.75,1602,4791,99,Garage,44.954582,-93.143738
St. Paul,55103,177500,2,1,1538,4791,85,Garage,44.972698,-93.134132
St. Paul,55104,144900,3,1,1108,4791,67,Garage,44.962364,-93.144569
St. Paul,55116,464900,3,1.75,2132,12196,58,Garage,44.909348,-93.180634
St. Paul,55104,72000,3,2,1644,6969,100,Garage,44.958725,-93.145119
St. Paul,55106,147500,3,1,1455,5662,61,Garage,44.973854,-93.029457
St. Paul,55104,119900,2,1,735,5662,68,Garage,44.965065,-93.145378
St. Paul,55117,57500,3,2,1117,4791,106,Garage,44.973686,-93.108864
St. Paul,55117,80000,2,1.5,776,5662,97,Garage,44.97377,-93.118416
St. Paul,55116,214900,3,1.75,1434,6098,63,Garage,44.90863,-93.187813
St. Paul,55117,154900,4,2,1834,4791,108,Garage,44.973911,-93.110695
St. Paul,55117,79900,2,1,700,5662,104,Garage,44.973938,-93.115227
St. Paul,55106,129900,3,1.75,1252,4791,93,Garage,44.975998,-93.054565
St. Paul,55105,699900,7,4.25,3955,6534,91,Garage,44.933537,-93.145943
St. Paul,55105,364900,3,2.25,1848,6098,76,Garage,44.93922,-93.146172
St. Paul,55106,94850,2,1,936,4791,88,Garage,44.960629,-93.054131
St. Paul,55106,104900,2,1,936,10454,95,Garage,44.951061,-93.05423
St. Paul,55117,225000,4,1,1818,38768,114,Garage,44.990578,-93.101143
Minneapolis,55419,259800,3,1.5,1295,4356,105,Garage,44.915787,-93.278603
St. Paul,55106,199900,3,1,1600,6098,92,Garage,44.980007,-93.054131
St. Paul,55105,186900,2,1,938,5662,88,Garage,44.927601,-93.146851
St. Paul,55106,123900,4,1,1075,5227,92,Garage,44.97456,-93.0504
St. Paul,55106,389000,3,3,2328,,93,Garage,44.980007,-93.053955
St. Paul,55105,699900,6,4.25,5223,26136,102,Garage,44.940853,-93.147011
Woodbury,55129,319000,2,1.75,1430,,1,Garage,44.957136,-93.004931
St. Paul,55106,149990,3,2,1220,4791,0,Garage,44.966068,-93.053917
Minneapolis,55417,499999,3,2.5,2402,6969,83,Garage,44.913395,-93.258186
Minneapolis,55411,129900,3,2.25,1496,3484,8,Garage,45.004608,-93.294952
St. Paul,55106,129900,3,1.25,964,8276,44,Garage,44.955235,-93.053474
St. Paul,55106,169900,3,1.5,1480,4791,88,Garage,44.975105,-93.0504
Minneapolis,55419,850000,4,3.25,3646,8712,82,Garage,44.919872,-93.294502
St. Paul,55106,129900,2,1.5,1781,3920,91,Garage,44.977295,-93.053085
St. Paul,55117,129900,2,1.5,1407,4791,105,Garage,44.975082,-93.10759
St. Paul,55106,76500,3,1,1108,2613,124,Garage,44.965164,-93.052773
St. Paul,55105,369900,3,2.75,1870,6098,92,Garage,44.936054,-93.14785
St. Paul,55104,129900,3,1,1005,4791,94,Garage,44.957291,-93.148102
St. Paul,55117,224900,3,2.5,1940,,10,Garage,44.975529,-93.119659
St. Paul,55106,99900,4,1.75,1900,4791,88,Garage,44.977798,-93.052315
St. Paul,55106,119900,3,2,1696,6969,102,Garage,44.949902,-93.062836
St. Paul,55106,134900,3,1,1110,6534,65,Garage,44.975792,-93.028221
Minneapolis,55419,549000,4,1.5,2012,7840,91,Garage,44.912052,-93.279961
St. Paul,55130,124900,3,2.25,2179,8712,103,Garage,44.975971,-93.077736
St. Paul,55108,229900,3,1.5,1835,4791,108,Garage,44.987713,-93.148537
St. Paul,55106,139900,4,1.75,1400,5227,76,Garage,44.959236,-93.051765
St. Paul,55130,123900,3,1,1148,10890,126,Garage,44.975945,-93.076996
St. Paul,55104,152900,4,1.75,1904,3920,92,Garage,44.948277,-93.148842
St. Paul,55117,129900,4,1.75,1424,5227,66,Garage,44.976227,-93.112686
St. Paul,55106,62400,1,1,510,4791,86,Garage,44.972778,-93.051414
St. Paul,55104,124900,2,1,676,4791,74,Garage,44.961823,-93.149513
St. Paul,55106,117000,2,1,1017,13285,125,Garage,44.954735,-93.051445
St. Paul,55106,264900,3,1.75,2304,5227,92,Garage,44.978699,-93.051247
St. Paul,55117,119900,2,1,1314,5662,73,Garage,44.97633,-93.114479
St. Paul,55117,89900,5,1.75,1835,6534,120,Garage,44.990303,-93.104721
St. Paul,55105,675000,2,2.25,3130,6098,89,Garage,44.936527,-93.149643
St. Paul,55130,160000,3,1.75,1894,6534,61,Garage,44.976803,-93.078262
St. Paul,55130,120000,3,1.25,1183,4791,75,Garage,44.976944,-93.077713
St. Paul,55105,749900,3,2.75,3589,,124,Garage,44.942009,-93.150284
St. Paul,55104,139900,3,1.75,1201,4791,97,Garage,44.95871,-93.150612
St. Paul,55106,129900,3,1.25,1600,6098,73,No Garage,44.950699,-93.050262
St. Paul,55116,179900,3,1,864,6098,61,Garage,44.905338,-93.183754
St. Paul,55105,375000,3,1.75,1980,9147,24,Garage,44.942013,-93.150826
St. Paul,55116,329900,3,2.75,2478,6098,77,Garage,44.924892,-93.15094
Minneapolis,55419,519900,3,2.5,2973,6098,91,Garage,44.907166,-93.29483
St. Paul,55102,1375000,5,4.25,4934,14810,104,Garage,44.944958,-93.115173
St. Paul,55116,750000,5,3.5,3849,13503,81,Garage,44.920876,-93.151428
St. Paul,55117,140000,3,1.5,1167,8712,99,Garage,44.978348,-93.124138
St. Paul,55106,139900,2,1,1530,9147,64,Garage,44.957508,-93.048401
St. Paul,55106,90000,3,1,1308,5227,134,Garage,44.965187,-93.048447
St. Paul,55117,150000,2,1,759,,95,Garage,44.978516,-93.105553
St. Paul,55104,169900,4,1.5,1744,4791,124,No Garage,44.961803,-93.152847
St. Paul,55106,124000,3,2.5,1700,9147,99,Garage,44.966984,-93.047867
St. Paul,55116,159900,2,1,1120,4791,74,Garage,44.923996,-93.153175
St. Paul,55105,299500,3,1.75,1395,4791,87,Garage,44.931755,-93.153152
St. Paul,55130,129850,3,1,1382,5227,85,Garage,44.979248,-93.077744
St. Paul,55105,215900,2,1,720,,91,Garage,44.929428,-93.153481
St. Paul,55119,199000,4,1.25,1887,125888,129,Garage,44.903839,-93.009346
St. Paul,55117,159900,3,1,1184,10454,83,Garage,44.979492,-93.126785
St. Paul,55106,134990,3,1,1774,5227,93,Garage,44.958855,-93.046776
St. Paul,55117,99000,2,1,960,5532,95,Garage,44.97958,-93.10685
St. Paul,55104,165000,4,1.5,1544,5227,101,Garage,44.967216,-93.154083
St. Paul,55130,84900,3,1.75,1381,3920,123,Garage,44.979755,-93.075775
St. Paul,55104,153334,3,1,1120,5227,98,Garage,44.967205,-93.154472
St. Paul,55117,439000,4,2.5,3007,13068,87,Garage,44.980263,-93.134377
St. Paul,55105,414900,5,3.5,2922,4791,10,Garage,44.928524,-93.154785
St. Paul,55117,124900,3,1.5,1140,6098,67,Garage,44.980152,-93.111389
St. Paul,55116,559900,4,3.25,2762,4791,0,Garage,44.92218,-93.155106
St. Paul,55104,699900,5,3.75,4500,14810,87,Garage,44.945347,-93.196625
St. Paul,55117,155900,4,1.5,1806,5227,104,Garage,44.980534,-93.1101
St. Paul,55116,520000,4,3.5,2907,4791,1,Garage,44.920876,-93.155418
St. Paul,55104,129900,2,1,1101,,105,Garage,44.964123,-93.155716
St. Paul,55116,225000,3,1.75,1252,4791,89,Garage,44.923096,-93.155838
St. Paul,55105,279900,3,1.75,1400,4791,85,Garage,44.928528,-93.155869
Minneapolis,55413,119000,2,1,644,5662,114,Garage,45.001488,-93.257919
St. Paul,55104,129900,3,1.5,1008,4791,114,Garage,44.958683,-93.156013
St. Paul,55116,324900,4,3.5,2908,4791,10,Garage,44.920376,-93.156189
St. Paul,55116,499000,3,2.5,1820,4791,1,Garage,44.920879,-93.156189
St. Paul,55116,289900,3,1.75,1604,4791,89,Garage,44.92128,-93.156647
St. Paul,55104,159900,4,1,1740,4791,125,Garage,44.959591,-93.157021
St. Paul,55106,144850,4,1,1498,4791,62,Garage,44.96067,-93.043449
St. Paul,55106,182500,4,1.5,2288,9583,56,Garage,44.982147,-93.042671
St. Paul,55130,162900,4,1.75,1677,6098,51,Garage,44.982059,-93.077019
St. Paul,55106,58895,4,1,1589,15245,100,Garage,44.969845,-93.042847
St. Paul,55117,40000,4,1,1720,3920,124,Garage,44.965683,-93.094833
St. Paul,55117,179900,4,2,3123,4791,53,Garage,44.98222,-93.12336
St. Paul,55105,195000,3,1,1585,5227,100,Garage,44.934498,-93.157745
St. Paul,55106,119000,3,1.5,1412,6969,92,Garage,44.961594,-93.042603
St. Paul,55105,199900,3,1.5,1270,4791,97,Garage,44.928535,-93.15831
St. Paul,55106,159900,3,2.5,1996,3484,14,Garage,44.959732,-93.042038
St. Paul,55117,239900,4,2,2294,8276,99,Garage,44.982903,-93.130943
St. Paul,55106,124900,3,1,1238,4791,89,Garage,44.983269,-93.024872
St. Paul,55105,179000,3,1,1012,3484,57,Garage,44.930885,-93.159065
St. Paul,55104,149900,3,1,1548,4791,126,Garage,44.959579,-93.159027
St. Paul,55108,179900,3,1.75,1647,5227,89,Garage,44.98341,-93.166573
St. Paul,55108,294900,4,1.5,2034,10454,82,Garage,44.982029,-93.159378
St. Paul,55104,149900,3,1.5,1800,4791,111,Garage,44.962662,-93.159721
Minneapolis,55411,139900,3,2,1760,14374,54,Garage,45.005249,-93.298431
Minneapolis,55411,99000,2,1,900,,93,Garage,44.993523,-93.309697
Minneapolis,55413,129875,1,1,1076,,114,Garage,45.002598,-93.259262
Minneapolis,55411,135000,6,2,1876,5227,12,Garage,44.993893,-93.30481
St. Paul,55106,189000,5,3.25,2234,5662,9,Garage,44.969025,-93.040009
St. Paul,55106,179900,3,1.5,1628,4791,1,Garage,44.960258,-93.039954
St. Paul,55104,159900,2,1,1149,4791,67,Garage,44.945572,-93.160873
St. Paul,55117,154900,3,1.75,1876,7405,73,Garage,44.984421,-93.107513
St. Paul,55117,189900,4,1.75,1802,7840,61,Garage,44.984417,-93.120239
St. Paul,55105,749000,5,3.5,3327,12196,104,Garage,44.940914,-93.161057
Minneapolis,55419,749900,3,2.25,2079,7840,88,Garage,44.91563,-93.297585
St. Paul,55108,189500,2,1,1280,5227,88,Garage,44.985172,-93.160156
St. Paul,55105,479900,4,2.25,2696,7405,98,Garage,44.938694,-93.162125
St. Paul,55104,174900,3,2,1932,4356,103,Garage,44.957241,-93.162109
St. Paul,55106,88000,2,1,905,4791,62,Garage,44.985416,-93.035103
St. Paul,55106,109900,2,1.75,1374,12196,114,Garage,44.971729,-93.038544
St. Paul,55106,104900,3,1.5,1140,19602,59,Garage,44.947453,-93.03846
St. Paul,55106,146000,2,1.75,2195,10454,61,Garage,44.948544,-93.038376
St. Paul,55104,99900,2,0.75,994,5227,103,Garage,44.950985,-93.162804
St. Paul,55108,274900,4,1.75,2647,3920,128,Garage,44.975796,-93.16288
St. Paul,55130,85000,2,1.25,1027,5227,114,Garage,44.986034,-93.076515
St. Paul,55108,244999,4,2,1900,5227,92,Garage,44.985973,-93.155724
St. Paul,55102,164900,3,1.75,1557,4791,93,Garage,44.918743,-93.140533
St. Paul,55116,375000,4,2.75,2163,4791,67,Garage,44.920898,-93.163429
St. Paul,55117,169750,3,1.75,1600,6969,65,Garage,44.986446,-93.130363
St. Paul,55108,269900,3,1.75,2119,4791,81,Garage,44.986504,-93.164696
St. Paul,55108,209900,3,1,1072,4791,94,Garage,44.979412,-93.163765
Minneapolis,55411,84900,2,1.75,1122,4356,98,No Garage,44.994656,-93.307838
St. Paul,55105,379900,4,2,2032,5227,98,Garage,44.93491,-93.163971
Minneapolis,55411,114900,3,1.5,1438,4791,73,Garage,44.994637,-93.306602
St. Paul,55119,263525,5,3.25,2598,10890,10,Garage,44.895756,-93.006966
St. Paul,55104,84900,2,1.75,1131,3920,110,Garage,44.956371,-93.164665
St. Paul,55117,152900,4,1,1300,5227,105,Garage,44.987106,-93.126549
Minneapolis,55411,130000,3,1.5,1512,6098,5,Garage,44.994865,-93.299049
St. Paul,55117,159000,4,1,1260,5227,82,Garage,44.987,-93.127106
St. Paul,55106,107900,4,2.5,2117,6098,55,Garage,44.957073,-93.036064
St. Paul,55106,159900,4,1.75,1778,8276,56,Garage,44.987377,-93.048584
St. Paul,55108,244900,3,1.75,1816,4791,83,Garage,44.987171,-93.163406
St. Paul,55106,167900,3,1.75,1794,7840,59,Garage,44.987526,-93.035851
Minneapolis,55411,40000,5,1,1694,5662,92,Garage,,
St. Paul,55130,135000,3,1,1334,5662,50,Garage,44.987381,-93.086624
St. Paul,55108,154900,2,1,1112,6098,100,Garage,44.976654,-93.165451
St. Paul,55108,199900,2,1.75,1384,5227,83,Garage,44.987663,-93.153656
St. Paul,55107,146900,3,1.75,2692,6534,39,Garage,44.933338,-93.077408
Minneapolis,55411,159900,3,2.25,1651,5662,1,Garage,45.000957,-93.301086
St. Paul,55108,224900,3,1.5,1625,5227,80,Garage,44.988068,-93.16011
St. Paul,55108,89000,3,1,1103,7840,124,No Garage,44.978489,-93.166176
St. Paul,55108,119900,1,1.75,851,3049,96,Garage,44.979389,-93.166245
St. Paul,55106,115000,3,1,888,6098,59,Garage,44.988834,-93.048584
St. Paul,55106,169900,4,2.5,1196,8276,91,Garage,44.988796,-93.043434
St. Paul,55102,174900,3,1,1686,7405,63,Garage,44.918892,-93.143372
St. Paul,55106,120000,3,1,1140,7448,40,Garage,44.956158,-93.033577
St. Paul,55106,239741,4,2,1759,4791,2,Garage,44.962073,-93.033416
St. Paul,55106,165000,3,2,2085,6534,54,Garage,44.982689,-93.033516
St. Paul,55106,92000,4,2,1690,6969,61,Garage,44.988647,-93.033539
St. Paul,55106,169900,3,1,1345,6098,59,Garage,44.983604,-93.033318
St. Paul,55102,125000,3,1.25,1512,,102,Garage,44.917263,-93.14283
St. Paul,55106,139000,3,1,1272,4791,48,Garage,44.96159,-93.033142
Minneapolis,55413,227900,4,0.75,1920,5227,114,Garage,45.004318,-93.258514
Minneapolis,55411,94900,5,2,1820,5227,74,Garage,45.001781,-93.301086
St. Paul,55108,209900,3,1,1401,5227,87,Garage,44.98959,-93.155663
Minneapolis,55413,210000,4,2,1555,4356,32,Garage,45.004551,-93.267303
Minneapolis,55413,178000,3,1.5,1531,6098,75,Garage,45.004459,-93.269226
Minneapolis,55413,224900,4,1.75,1680,6534,61,Garage,45.004688,-93.238823
St. Paul,55106,129900,4,1.25,1560,6098,112,No Garage,44.951305,-93.064095
Minneapolis,55413,149000,3,1.75,1544,5662,89,Garage,45.004772,-93.242645
Minneapolis,55408,464000,3,1.75,1944,6534,113,Garage,44.9468,-93.303047
St. Paul,55106,149900,3,1,1321,6969,97,Garage,44.964664,-93.03186
St. Paul,55130,159900,3,2,1424,6098,67,Garage,44.990257,-93.075851
St. Paul,55106,97000,3,1,1094,6098,68,Garage,44.985012,-93.031723
St. Paul,55106,159777,3,1.75,1526,6534,59,Garage,44.990505,-93.048576
St. Paul,55106,164900,3,1.5,1581,7405,51,Garage,44.953835,-93.031738
St. Paul,55106,149990,4,1.75,1714,6098,64,Garage,44.96558,-93.031395
St. Paul,55106,152500,5,1.5,1547,6098,62,Garage,44.959251,-93.031181
St. Paul,55106,120000,2,1.25,1240,,88,Garage,44.961586,-93.03125
Minneapolis,55411,44000,3,1,1311,5227,114,No Garage,44.996456,-93.316833
St. Paul,55106,99900,4,1.25,1008,4356,74,Garage,44.990807,-93.071503
Minneapolis,55411,142800,4,1.75,1650,5227,60,Garage,44.996414,-93.311142
St. Paul,55106,99900,2,2.5,1126,5227,134,Garage,44.964684,-93.031075
St. Paul,55117,139900,3,1,1220,4791,73,Garage,44.984737,-93.106796
St. Paul,55104,182500,4,1.75,1778,6969,106,Garage,44.950935,-93.170158
St. Paul,55104,169900,3,1,1453,4791,75,Garage,44.958111,-93.170685
St. Paul,55106,324900,3,1.75,2336,8712,31,Garage,44.991489,-93.05072
St. Paul,55106,69000,2,1,832,6969,88,Garage,44.977245,-93.029968
St. Paul,55106,69500,3,1,1014,,85,Garage,44.968033,-93.0299
St. Paul,55105,194900,2,1,1135,5227,95,Garage,44.934013,-93.170959
St. Paul,55106,189000,4,1.5,1460,10454,116,Garage,44.97057,-93.029678
St. Paul,55106,35900,2,1,734,6534,101,No Garage,44.969002,-93.029694
St. Paul,55116,299900,3,2,1400,5227,90,Garage,44.924942,-93.171394
St. Paul,55106,168797,3,1.75,1306,5227,94,Garage,44.963371,-93.029305
St. Paul,55106,175000,3,1.75,1150,10454,46,Garage,44.947945,-93.029167
St. Paul,55104,179900,2,1,1344,4791,77,Garage,44.959538,-93.1716
St. Paul,55105,289900,3,2,1635,5227,93,Garage,44.931297,-93.171738
St. Paul,55106,39900,2,1.75,1808,6098,107,Garage,44.966999,-93.028969
St. Paul,55105,329900,3,1.5,1550,6534,99,Garage,44.933624,-93.171913
St. Paul,55104,149900,4,1,1369,4791,99,Garage,44.959923,-93.171761
St. Paul,55106,84900,3,1.75,1133,8276,99,Garage,,
St. Paul,55117,120000,3,1,1694,4791,114,Garage,44.974945,-93.10051
St. Paul,55106,204900,4,1.5,2524,9147,51,Garage,44.956356,-93.035606
St. Paul,55106,145000,4,2,1964,7840,57,Garage,44.982666,-93.028503
St. Paul,55105,269900,4,1.75,1406,5227,96,Garage,44.928577,-93.172623
St. Paul,55104,194900,4,1.5,1408,4791,102,No Garage,44.946823,-93.172516
St. Paul,55104,149900,3,0.75,1224,3920,128,Garage,44.966194,-93.172638
Minneapolis,55411,74900,3,1.5,1178,5227,94,Garage,44.996681,-93.306061
Minneapolis,55407,139900,2,1,738,2613,92,Garage,44.928806,-93.249084
St. Paul,55104,169900,4,2,1385,4356,114,Garage,44.961342,-93.172729
St. Paul,55105,1195000,5,3.25,6247,18295,106,Garage,44.942043,-93.172813
St. Paul,55106,99900,3,1,1241,5662,97,Garage,,
St. Paul,55106,129900,3,1,1408,7405,73,Garage,44.960636,-93.027626
Minneapolis,55408,1100000,4,1.5,1334,5662,114,Garage,44.949028,-93.304314
St. Paul,55104,299900,3,2,1644,4356,116,Garage,44.960831,-93.173164
St. Paul,55105,259900,3,1.75,1692,5227,95,Garage,44.928185,-93.173241
St. Paul,55106,189900,4,2,2230,11761,50,Garage,44.947262,-93.027611
St. Paul,55106,99000,3,1,949,10018,106,Garage,44.964676,-93.027138
St. Paul,55106,132900,3,1.75,1528,,49,Garage,44.947891,-93.027344
St. Paul,55106,159900,3,1.5,649,,91,Garage,44.964283,-93.027061
St. Paul,55116,145000,3,1.25,1580,6534,106,No Garage,44.901024,-93.173897
St. Paul,55107,259900,4,1.75,2758,6534,135,Garage,44.931992,-93.09288
St. Paul,55107,169900,3,1.5,1503,9147,114,Garage,44.929302,-93.092972
St. Paul,55106,157000,4,1.5,1702,9626,107,Garage,44.948441,-93.026619
St. Paul,55106,162990,4,1.75,2102,6098,97,Garage,44.960636,-93.026497
St. Paul,55106,70000,2,1,1000,7405,74,Garage,44.977821,-93.026115
St. Paul,55106,117500,3,1,1176,4791,57,Garage,44.96608,-93.02597
St. Paul,55104,165000,3,1.75,1246,4791,59,Garage,44.959534,-93.175064
St. Paul,55116,104500,2,1,702,6098,105,Garage,44.900501,-93.175255
St. Paul,55104,125000,3,1,1240,5227,66,Garage,44.961704,-93.175385
St. Paul,55106,69000,1,1,710,,129,No Garage,44.949211,-93.06321
St. Paul,55119,98850,2,1,730,4356,92,Garage,44.984989,-93.024475
St. Paul,55116,199786,3,2,1403,3484,31,Garage,44.905117,-93.175972
St. Paul,55105,140000,3,2,1650,7405,97,Garage,44.972363,-93.024307
St. Paul,55119,169900,3,1.5,1829,,64,Garage,44.956337,-93.024239
Minneapolis,55411,28250,3,1,1597,6534,100,No Garage,44.997574,-93.306061
St. Paul,55119,72900,3,1,1177,4791,75,Garage,44.965145,-93.0242
St. Paul,55116,409900,3,2.25,2218,10454,60,Garage,44.911331,-93.176208
St. Paul,55116,750000,4,3.25,3460,4791,11,Garage,44.897522,-93.183685
Minneapolis,55411,129500,3,1.75,1533,4791,97,Garage,44.997787,-93.306602
Minneapolis,55412,84900,2,1,940,6534,88,Garage,45.035744,-93.303688
St. Paul,55119,39353,1,1.5,972,3920,99,Garage,44.970081,-93.023712
St. Paul,55117,99900,2,1,1218,7405,124,Garage,44.964069,-93.092842
St. Paul,55105,384900,4,2,2468,6098,88,Garage,44.936756,-93.177429
St. Paul,55105,214900,3,1,1529,4791,89,Garage,44.927692,-93.177414
St. Paul,55116,499900,4,2.25,2085,9583,76,Garage,44.922318,-93.177513
St. Paul,55119,129850,3,1,1123,4791,74,No Garage,44.964638,-93.023117
St. Paul,55119,129850,2,1.5,1527,4356,100,Garage,44.970554,-93.022949
St. Paul,55119,149900,4,1.5,1192,5662,62,Garage,44.988602,-93.022896
St. Paul,55105,329900,3,2.75,1859,5227,92,Garage,44.935455,-93.17794
St. Paul,55119,145000,3,1.75,1628,4791,53,Garage,44.978676,-93.022942
St. Paul,55119,129500,4,1.75,1422,4791,84,Garage,44.966042,-93.022285
St. Paul,55119,62000,2,1,728,4791,93,Garage,44.978676,-93.022255
St. Paul,55119,76000,2,1,660,4791,89,Garage,44.977257,-93.022263
St. Paul,55119,128000,3,1.75,1645,4791,76,Garage,44.978676,-93.022102
West St. Paul,55118,129000,2,1.75,1194,5227,114,Garage,44.919338,-93.077362
St. Paul,55119,146900,3,2,2020,5227,84,Garage,44.985382,-93.021698
St. Paul,55116,239900,2,1,1324,5227,10,Garage,44.910278,-93.150124
St. Paul,55119,109900,2,1,1086,4791,63,Garage,44.963734,-93.021523
St. Paul,55118,155900,3,1.5,1255,5227,106,Garage,44.919842,-93.077484
St. Paul,55105,199850,2,1,826,5227,92,Garage,44.934566,-93.179398
St. Paul,55105,1799000,5,4.25,5702,27442,86,Garage,44.940956,-93.179634
St. Paul,55105,449900,4,1.75,2514,6098,87,Garage,44.930931,-93.179855
St. Paul,55119,165000,3,1.75,1529,4791,47,Garage,44.956486,-93.020775
St. Paul,55116,279000,3,1.5,1568,5662,102,Garage,44.898327,-93.180298
St. Paul,55117,49900,2,1,832,,109,Garage,44.974049,-93.10051
Minneapolis,55411,150000,3,2,1486,5227,91,Garage,45.005375,-93.304611
St. Paul,55116,299800,4,1.75,1742,6098,82,Garage,44.89772,-93.181023
St. Paul,55104,179500,3,1.25,1248,5619,109,Garage,44.963142,-93.181023
St. Paul,55104,294999,4,2,2176,5227,119,Garage,44.954483,-93.180229
St. Paul,55116,309900,5,2.75,2480,7405,65,Garage,44.913208,-93.181435
St. Paul,55105,359900,3,1.5,1806,5227,79,Garage,44.92952,-93.181282
St. Paul,55107,112900,2,1,860,4791,89,Garage,44.920166,-93.077171
Minneapolis,55411,119900,3,1.5,1308,5227,90,Garage,44.999603,-93.31369
St. Paul,55119,48000,2,1.25,933,,93,Garage,44.983177,-93.018791
St. Paul,55119,159900,4,2,1915,5662,63,Garage,44.964302,-93.019272
St. Paul,55116,429900,4,2,2460,9147,60,Garage,44.915005,-93.182076
St. Paul,55104,514000,3,3.25,3542,12196,124,Garage,44.951889,-93.182068
St. Paul,55119,144900,3,1,1536,9147,60,Garage,44.977242,-93.01825
St. Paul,55105,199000,4,3,1981,,98,No Garage,44.935566,-93.143753
St. Paul,55116,549900,4,3.5,2852,6098,1,Garage,44.915821,-93.18335
St. Paul,55105,344900,4,1.75,1532,5227,90,Garage,44.932762,-93.184196
St. Paul,55116,189900,3,1,1398,6098,62,Garage,44.907337,-93.184616
St. Paul,55104,424000,4,3,3142,9583,38,Garage,44.942215,-93.178291
St. Paul,55116,137000,3,1.75,1326,5662,56,Garage,44.902679,-93.185043
St. Paul,55119,129900,3,1,1800,8276,57,Garage,44.984974,-93.015129
Minneapolis,55411,99900,4,1.75,1828,5227,96,Garage,45.000118,-93.309113
St. Paul,55105,279900,3,1.75,1336,5227,90,Garage,44.929535,-93.186226
Maplewood,55119,174900,3,2.5,1623,7840,57,Garage,44.991337,-93.01403
Minneapolis,55418,149900,3,1.5,1406,5227,55,Garage,45.033623,-93.231071
St. Paul,55119,144900,4,2,1400,7405,60,Garage,44.979996,-93.014175
St. Paul,55105,179900,3,1,1064,5227,52,Garage,44.93528,-93.146996
St. Paul,55119,169900,3,1.5,1943,10454,61,Garage,44.959217,-93.013817
St. Paul,55119,89900,3,1,624,10454,93,No Garage,44.958298,-93.013344
St. Paul,55119,179000,4,2.25,1857,6098,55,Garage,44.950401,-93.013329
St. Paul,55105,314900,3,1.75,1725,4791,92,Garage,44.935867,-93.18811
St. Paul,55119,135500,3,1.75,1200,4356,60,Garage,44.958298,-93.012817
St. Paul,55119,164900,4,2,2009,9147,50,Garage,44.941761,-93.005386
St. Paul,55116,650000,4,2.75,3880,9147,53,Garage,44.909416,-93.179977
St. Paul,55119,149900,3,1.75,1647,6534,60,Garage,44.964619,-93.011681
St. Paul,55119,178900,3,1.75,1387,136778,50,Garage,44.908077,-93.01046
St. Paul,55116,799000,5,3,3927,125452,62,Garage,44.905556,-93.166077
Minneapolis,55411,82500,5,1.5,1320,6534,113,No Garage,45.000618,-93.28756
Minneapolis,55411,69900,3,1,1600,5227,105,Garage,45.001087,-93.311684
St. Paul,55102,149900,2,1.5,1296,1306,144,No Garage,44.935165,-93.113876
Minneapolis,55411,100000,4,1.5,1964,5662,84,Garage,45.001324,-93.310394
Minneapolis,55411,105900,4,1.5,2198,4356,104,Garage,45.001331,-93.286758
St. Paul,55105,329900,3,1.5,1691,4791,90,Garage,44.930038,-93.19075
St. Paul,55104,1195000,6,4.5,6328,16988,104,Garage,44.949982,-93.190994
St. Paul,55105,556877,4,3.25,2573,4791,91,Garage,44.927338,-93.191055
St. Paul,55117,79500,3,,1091,5227,89,Garage,44.977676,-93.109253
Minneapolis,55409,209900,2,1,814,2178,90,Garage,44.926636,-93.282555
St. Paul,55116,1325000,4,5.75,6783,35283,61,Garage,44.90678,-93.170746
St. Paul,55116,364500,4,2.25,2432,5662,78,Garage,44.924976,-93.191895
St. Paul,55119,199900,5,2.25,2767,7840,46,Garage,44.943439,-93.008591
St. Paul,55105,360000,3,1,1211,6534,98,Garage,44.935001,-93.173004
St. Paul,55119,134900,4,1,1709,6534,54,Garage,44.965523,-93.008591
St. Paul,55116,249900,2,1.25,994,4791,85,Garage,44.920944,-93.193451
Minneapolis,55418,119500,2,1,1073,6969,98,Garage,45.010162,-93.256371
Minneapolis,55418,99900,2,1.75,1220,6534,114,Garage,45.010315,-93.260712
St. Paul,55116,479000,4,1.75,2358,7405,79,Garage,44.922249,-93.194115
Minneapolis,55418,260000,3,1.5,1488,5227,105,Garage,45.010235,-93.234962
St. Paul,55105,649900,5,3.25,3222,6098,86,Garage,44.934578,-93.19426
St. Paul,55119,194500,3,1.75,1814,7405,54,Garage,44.939663,-93.006386
St. Paul,55119,125000,4,1.5,1520,,53,Garage,44.938816,-93.005432
St. Paul,55117,113900,2,1.75,1296,4791,63,Garage,44.988358,-93.110039
